"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 22, 2020","17,408.0","17,600.0","17,792.0","17,280.0","67.58M","-0.37%"
"Nov 15, 2020","17,472.0","16,960.0","17,728.0","16,768.0","77.66M","3.02%"
"Nov 08, 2020","16,960.0","16,064.0","17,088.0","16,064.0","69.49M","5.58%"
"Nov 01, 2020","16,064.0","15,488.0","16,448.0","15,360.0","56.74M","4.15%"
"Oct 25, 2020","15,424.0","16,384.0","16,512.0","14,848.0","80.03M","-5.86%"
"Oct 18, 2020","16,384.0","16,000.0","16,640.0","15,936.0","81.05M","3.64%"
"Oct 11, 2020","15,808.0","15,168.0","16,000.0","14,784.0","92.71M","5.11%"
"Oct 04, 2020","15,040.0","14,720.0","15,488.0","14,656.0","100.30M","2.17%"
"Sep 27, 2020","14,720.0","14,208.0","15,040.0","14,208.0","74.66M","3.60%"
"Sep 20, 2020","14,208.0","13,952.0","14,592.0","13,824.0","54.05M","2.30%"
"Sep 13, 2020","13,888.0","13,312.0","13,952.0","13,312.0","43.29M","4.33%"
"Sep 06, 2020","13,312.0","13,504.0","13,568.0","12,992.0","45.25M","-1.42%"
"Aug 30, 2020","13,504.0","13,696.0","13,760.0","13,312.0","39.96M","-1.40%"
"Aug 23, 2020","13,696.0","13,568.0","13,952.0","13,312.0","50.71M","0.94%"
"Aug 16, 2020","13,568.0","12,455.4","13,568.0","12,406.2","83.01M","8.93%"
"Aug 09, 2020","12,455.4","11,667.7","12,750.8","11,667.7","70.05M","6.75%"
"Aug 02, 2020","11,667.7","10,880.0","12,012.3","10,880.0","31.38M","5.33%"
"Jul 26, 2020","11,076.9","10,289.2","11,273.8","10,289.2","36.37M","-3.02%"
"Jul 19, 2020","11,421.5","12,209.2","12,258.5","11,076.9","28.50M","-6.45%"
"Jul 12, 2020","12,209.2","11,864.6","12,307.7","11,667.7","27.65M","3.33%"
"Jul 05, 2020","11,815.4","11,323.1","12,012.3","11,323.1","23.92M","4.35%"
"Jun 28, 2020","11,323.1","11,618.5","11,618.5","11,027.7","24.29M","-2.54%"
"Jun 21, 2020","11,618.5","12,012.3","12,160.0","11,569.2","25.30M","-3.28%"
"Jun 14, 2020","12,012.3","12,160.0","12,160.0","11,421.5","31.12M","-0.41%"
"Jun 07, 2020","12,061.5","12,406.2","12,800.0","11,520.0","64.87M","-2.78%"
"May 31, 2020","12,406.2","11,323.1","13,046.2","11,273.8","76.66M","10.04%"
"May 24, 2020","11,273.8","11,076.9","11,667.7","10,978.5","42.94M","2.23%"
