"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 16, 2019","18,300.0","18,100.0","18,900.0","18,100.0","2.05M","0.55%"
"Jun 09, 2019","18,200.0","18,400.0","18,550.0","18,050.0","5.07M","-1.09%"
"Jun 02, 2019","18,400.0","17,600.0","18,700.0","17,450.0","1.37M","3.95%"
"May 26, 2019","17,700.0","17,800.0","18,500.0","17,700.0","405.22K","-0.56%"
"May 19, 2019","17,800.0","17,350.0","19,100.0","17,350.0","1.63M","0.00%"
"May 12, 2019","17,800.0","18,300.0","18,500.0","17,400.0","708.74K","-2.73%"
"May 05, 2019","18,300.0","17,400.0","18,500.0","17,000.0","1.04M","5.17%"
"Apr 28, 2019","17,400.0","17,000.0","17,400.0","17,000.0","618.28K","2.35%"
"Apr 21, 2019","17,000.0","17,100.0","17,400.0","17,000.0","532.92K","-0.87%"
"Apr 14, 2019","17,150.0","17,400.0","17,400.0","17,100.0","509.64K","-0.58%"
"Apr 07, 2019","17,250.0","17,500.0","17,650.0","17,100.0","1.08M","-1.43%"
"Mar 31, 2019","17,500.0","17,600.0","17,600.0","16,800.0","894.03K","-0.57%"
"Mar 24, 2019","17,600.0","17,500.0","17,750.0","17,100.0","908.61K","0.57%"
"Mar 17, 2019","17,500.0","17,400.0","18,000.0","17,150.0","864.86K","-1.13%"
"Mar 10, 2019","17,700.0","17,100.0","17,900.0","17,100.0","1.36M","2.02%"
"Mar 03, 2019","17,350.0","17,300.0","18,000.0","17,000.0","1.24M","0.29%"
"Feb 24, 2019","17,300.0","16,800.0","17,950.0","16,800.0","933.41K","2.98%"
"Feb 17, 2019","16,800.0","18,500.0","18,500.0","16,250.0","1.55M","-5.62%"
"Feb 10, 2019","17,800.0","17,500.0","18,600.0","17,400.0","1.32M","-0.28%"
"Jan 27, 2019","17,850.0","16,000.0","17,850.0","15,800.0","2.51M","11.56%"
"Jan 20, 2019","16,000.0","14,650.0","16,350.0","14,650.0","1.42M","8.84%"
"Jan 13, 2019","14,700.0","14,650.0","14,900.0","14,200.0","492.43K","1.38%"
"Jan 06, 2019","14,500.0","14,000.0","14,700.0","14,000.0","555.55K","3.20%"
"Dec 30, 2018","14,050.0","14,000.0","14,100.0","13,950.0","773.94K","0.00%"
"Dec 23, 2018","14,050.0","14,000.0","14,350.0","13,800.0","1.03M","0.36%"
"Dec 16, 2018","14,000.0","14,250.0","14,250.0","13,750.0","738.87K","-1.75%"
"Dec 09, 2018","14,250.0","14,000.0","14,550.0","13,600.0","8.16M","2.52%"
"Dec 02, 2018","13,900.0","13,650.0","14,600.0","13,550.0","47.08M","2.21%"
"Nov 25, 2018","13,600.0","13,350.0","13,650.0","13,100.0","649.88K","0.74%"
"Nov 18, 2018","13,500.0","13,550.0","13,550.0","13,200.0","574.20K","-0.37%"
"Nov 11, 2018","13,550.0","13,650.0","13,650.0","13,200.0","561.35K","-0.73%"
"Nov 04, 2018","13,650.0","13,700.0","13,700.0","13,500.0","727.99K","-0.36%"
"Oct 28, 2018","13,700.0","13,750.0","13,750.0","13,300.0","1.09M","-0.36%"
"Oct 21, 2018","13,750.0","13,900.0","13,900.0","13,100.0","818.51K","-1.08%"
"Oct 14, 2018","13,900.0","14,000.0","14,150.0","13,500.0","678.76K","0.72%"
"Oct 07, 2018","13,800.0","14,050.0","14,450.0","13,300.0","1.70M","-4.50%"
"Sep 30, 2018","14,450.0","14,200.0","15,000.0","14,200.0","2.22M","2.12%"
"Sep 23, 2018","14,150.0","14,300.0","14,300.0","13,800.0","1.05M","0.71%"
"Sep 16, 2018","14,050.0","13,900.0","14,300.0","13,700.0","1.14M","1.08%"
"Sep 09, 2018","13,900.0","14,000.0","14,000.0","13,750.0","963.02K","-0.71%"
"Sep 02, 2018","14,000.0","14,000.0","14,000.0","13,800.0","682.06K","-0.36%"
"Aug 26, 2018","14,050.0","13,900.0","14,050.0","13,800.0","1.54M","0.36%"
"Aug 19, 2018","14,000.0","14,000.0","14,500.0","13,900.0","1.42M","0.00%"
"Aug 12, 2018","14,000.0","14,050.0","14,150.0","13,900.0","707.15K","0.00%"
"Aug 05, 2018","14,000.0","14,050.0","14,250.0","13,800.0","540.45K","-0.36%"
"Jul 29, 2018","14,050.0","14,100.0","14,200.0","13,900.0","880.37K","0.36%"
"Jul 22, 2018","14,000.0","14,000.0","14,300.0","13,800.0","541.17K","0.00%"
"Jul 15, 2018","14,000.0","14,000.0","14,300.0","13,800.0","1.38M","0.00%"
"Jul 08, 2018","14,000.0","14,000.0","14,350.0","13,600.0","1.31M","0.00%"
"Jul 01, 2018","14,000.0","14,100.0","14,650.0","13,300.0","1.44M","-3.45%"
"Jun 24, 2018","14,500.0","14,300.0","14,900.0","14,250.0","768.15K","1.40%"
"Jun 17, 2018","14,300.0","14,700.0","14,700.0","14,000.0","912.70K","-2.05%"
"Jun 10, 2018","14,600.0","15,200.0","15,200.0","14,600.0","673.73K","-3.95%"
"Jun 03, 2018","15,200.0","14,700.0","15,550.0","14,550.0","1.93M","5.19%"
"May 27, 2018","14,450.0","14,500.0","14,700.0","14,100.0","2.16M","-1.70%"
"May 20, 2018","14,700.0","15,000.0","15,000.0","14,450.0","1.46M","-0.34%"
"May 13, 2018","14,750.0","15,300.0","15,300.0","14,500.0","738.41K","-2.64%"
"May 06, 2018","15,150.0","15,200.0","15,550.0","14,800.0","1.61M","1.00%"
"Apr 29, 2018","15,000.0","15,300.0","15,350.0","14,450.0","1.08M","-0.66%"
"Apr 22, 2018","15,100.0","16,100.0","16,100.0","14,450.0","2.53M","-6.79%"
"Apr 15, 2018","16,200.0","14,850.0","16,500.0","14,700.0","6.94M","9.09%"
"Apr 08, 2018","14,850.0","14,900.0","15,000.0","14,450.0","2.90M","-0.67%"
"Apr 01, 2018","14,950.0","14,000.0","15,100.0","13,800.0","2.47M","6.79%"
"Mar 25, 2018","14,000.0","14,500.0","14,650.0","13,700.0","3.58M","-5.08%"
"Mar 18, 2018","14,750.0","15,000.0","15,200.0","14,300.0","2.25M","-1.67%"
"Mar 11, 2018","15,000.0","14,500.0","15,500.0","14,200.0","4.91M","5.26%"
"Mar 04, 2018","14,250.0","15,050.0","15,100.0","14,200.0","2.29M","-5.32%"
"Feb 25, 2018","15,050.0","15,800.0","16,000.0","15,000.0","4.36M","-4.75%"
"Feb 18, 2018","15,800.0","15,900.0","16,600.0","14,950.0","4.40M","-1.25%"
